Punkty,Punkty w otoczce,Graham,Jarvis
100,8,0.000345,0.000507
500,8,0.001488,0.002529
1000,8,0.002588,0.005462
2000,8,0.006162,0.01108
5000,8,0.015512,0.026828
10000,8,0.039068,0.052846
20000,8,0.069869,0.104313
50000,8,0.197999,0.277921
