Punkty,Punkty w otoczce,Graham,Jarvis
100,10,0.000141,0.000179
500,11,0.000481,0.000785
1000,18,0.000856,0.002851
2000,23,0.001858,0.009163
5000,24,0.004777,0.020359
10000,20,0.011559,0.03316
20000,28,0.023113,0.092448
50000,32,0.075623,0.300416
